p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	peak
1	3.48091126630029e-48	0.570040822577408	0.538	0.027	4.56302335667363e-44	0	chr2-241762519-241764351
2	5.5728179734656e-48	0.542461866199956	0.554	0.031	4.56302335667363e-44	0	chr7-38232621-38233409
3	4.86794964031923e-46	0.574335310743746	0.546	0.036	2.65725144366226e-42	0	chr17-47829777-47830462
4	2.86279914002116e-45	0.556584210398365	0.515	0.029	1.17202996792466e-41	0	chr19-51372654-51373498
5	8.14012749587013e-45	0.522275417743419	0.477	0.018	2.66605455744738e-41	0	chr17-49715177-49716212
6	1.37276419118519e-44	0.529714019870208	0.508	0.027	3.74673106580811e-41	0	chr2-231425811-231426595
7	2.03902023049354e-43	0.563585810473431	0.592	0.06	4.77014218493746e-40	0	chr20-24948860-24950186
8	2.37046144532251e-43	0.576136388737271	0.608	0.064	4.85233457857517e-40	0	chr1-24910792-24911643
9	3.12132821801272e-43	0.514082039837015	0.408	0.004	5.67943009979737e-40	0	chr12-121557529-121558153
10	3.32139782221747e-41	0.477867135900105	0.585	0.06	5.43912107366334e-38	0	chr19-10797114-10798219
11	5.29339992241223e-40	0.513819274168717	0.492	0.033	7.88042882994751e-37	0	chr4-8409302-8410060
12	9.68484581427534e-39	0.510526621561049	0.469	0.031	1.22805794269706e-35	0	chr2-230974165-230974774
13	9.7488722856997e-39	0.462726555981477	0.523	0.047	1.22805794269706e-35	0	chr16-88619640-88620710
14	1.85132639303715e-37	0.441543645921467	0.385	0.011	2.16552292945546e-34	0	chr10-6491988-6492578
15	4.0096492738892e-37	0.506057816104633	0.485	0.04	4.37746776728063e-34	0	chrX-1462740-1463294
16	2.9899893311997e-35	0.51336132417082	0.508	0.051	3.06025408048289e-32	0	chr18-48813754-48814739
17	3.92393978164376e-35	0.432137440992288	0.377	0.013	3.77990810965872e-32	0	chr14-101712880-101713891
18	8.68349478826014e-35	0.430974683798235	0.6	0.082	7.90005059180822e-32	0	chr13-30744073-30744832
19	9.24370785598664e-35	0.526843244072697	0.6	0.093	7.9671031499809e-32	0	chr15-69468255-69469130
20	5.82227370240898e-34	0.531348067865618	0.538	0.073	4.76727770753247e-31	0	chr22-39090294-39091362
21	3.57402474583323e-33	0.488478224737514	0.523	0.064	2.78705853513166e-30	0	chr6-37502702-37503264
22	7.82389842366619e-33	0.450195770836902	0.454	0.044	5.82382548117988e-30	0	chr12-76020157-76021362
23	2.6812100011445e-32	0.35857764449925	0.354	0.013	1.90902152081488e-29	0	chr15-39624793-39625245
24	3.15627728558996e-32	0.439147170978724	0.362	0.016	2.15363320120088e-29	0	chr11-48011700-48012359
25	6.40400549598679e-32	0.448817565595148	0.5	0.058	4.19487976009119e-29	0	chr19-54210744-54211200
26	3.5724174513517e-31	0.40244656017961	0.362	0.018	2.25007339166675e-28	0	chr3-28326367-28326935
27	4.23572405346091e-31	0.446532102524077	0.454	0.044	2.56904507775837e-28	0	chr17-35879877-35880722
28	5.03135634233702e-31	0.404367297982325	0.454	0.047	2.94262469507539e-28	0	chr10-70602362-70603865
29	9.31765462778687e-31	0.438012091242601	0.477	0.058	5.26158317878061e-28	0	chr2-221517519-221518799
30	1.36968282687125e-30	0.443934184330514	0.415	0.038	7.43017931002675e-28	0	chr1-91555835-91556552
31	1.45063680925821e-30	0.42786407489756	0.377	0.024	7.43017931002675e-28	0	chr1-58754857-58755880
32	1.45191583977074e-30	0.460877345685648	0.423	0.038	7.43017931002675e-28	0	chr13-99434274-99434823
33	1.56126220430913e-30	0.444664330316409	0.577	0.096	7.74764541144432e-28	0	chr6-111759613-111760386
34	2.17102504509886e-30	0.395855288823455	0.492	0.064	1.04566782760409e-27	0	chr1-26378113-26378772
35	5.31650083453441e-30	0.451775484648039	0.538	0.082	2.48751479046673e-27	0	chr2-9703060-9703971
36	7.11288661517942e-30	0.435271341316346	0.477	0.06	3.23557308917161e-27	0	chr2-29010975-29012258
37	1.39100335019355e-29	0.423010438254718	0.392	0.031	6.15650563858638e-27	0	chr1-30191124-30191869
38	1.69075708401574e-29	0.378657837711387	0.369	0.024	7.28627315995834e-27	0	chr2-223760835-223761705
39	1.87187920897113e-29	0.462105760377708	0.531	0.078	7.85997280156699e-27	0	chr1-184386580-184388254
40	2.73323277939165e-29	0.433474050757819	0.431	0.049	1.11898549988294e-26	0	chr1-236415892-236416607
